name,listeners,playcount,url,tags
Lil Durk,926664,52802145,https://www.last.fm/music/Lil+Durk,"['rap', 'Hip-Hop', 'drill', 'trap', 'hip hop']"
Bobby Helms,1473693,6856902,https://www.last.fm/music/Bobby+Helms,"['country', 'christmas', 'rockabilly', 'oldies', 'male vocalists']"
Burl Ives,1004185,6133183,https://www.last.fm/music/Burl+Ives,"['folk', 'oldies', 'christmas', 'male vocalists', 'golden oldies']"
Russell Dickerson,139422,2065273,https://www.last.fm/music/Russell+Dickerson,"['country', 'pop', 'pop country', 'contemporary country', 'country road']"
Scotty McCreery,187564,2435913,https://www.last.fm/music/Scotty+McCreery,"['country', 'American Idol', 'contemporary country', 'sexy', 'male vocalists']"
Jon Pardi,280792,7378876,https://www.last.fm/music/Jon+Pardi,"['country', 'seen live', 'contemporary country', 'american', 'California']"
Ernest,105547,2258917,https://www.last.fm/music/Ernest,"['country', 'Korean', 'indie', 'pop', 'Arcade Fire']"
Jnr Choi,154697,1193143,https://www.last.fm/music/Jnr+Choi,"['gambia', 'alternative', 'rap', 'rnb', 'trap']"
Metro Boomin,2025543,190227619,https://www.last.fm/music/Metro+Boomin,"['trap', 'Hip-Hop', 'rap', 'hip hop', 'Southern Hip Hop']"
Rema,805264,15120766,https://www.last.fm/music/Rema,"['afrobeats', 'seen live', 'trap', 'pop', 'nigerian']"
pinkpantheress,2167635,165885876,https://www.last.fm/music/pinkpantheress,"['electronic', 'rnb', 'pop', 'british', 'seen live']"
Toosii,304960,6242967,https://www.last.fm/music/Toosii,"['rap', 'Hip-Hop', 'hip hop', 'trap', 'Melodic Rap']"
Eslabon Armado,593300,23389371,https://www.last.fm/music/Eslabon+Armado,"['Corridos tumbados', 'Sierreno', 'corrido', 'corridos', 'sad sierreno']"
Jelly Roll,243250,4835110,https://www.last.fm/music/Jelly+Roll,"['rap', 'Hip-Hop', 'country', 'jelly roll', 'hip hop']"
Yng Lvcas,243603,2765396,https://www.last.fm/music/Yng+Lvcas,"['Reggaeton', 'Hip-Hop', 'rap', 'latin', 'mexico']"
JVKE,1224897,33033915,https://www.last.fm/music/JVKE,"['indie pop', 'indie', 'pop', 'alternative', 'USA']"
Fifty Fifty,1104233,28047813,https://www.last.fm/music/Fifty+Fifty,"['k-pop', 'pop', 'Korean', 'Kpop', 'girl group']"
Raye,1180563,32915333,https://www.last.fm/music/Raye,"['pop', 'rnb', 'seen live', 'british', 'female vocalists']"
Grupo Frontera,356535,8273035,https://www.last.fm/music/Grupo+Frontera,"['latin', 'rnb', 'mexico', 'texas', 'Musica Mexicana']"
Stephen Sanchez,1234566,23161693,https://www.last.fm/music/Stephen+Sanchez,"['folk', 'singer-songwriter', 'indie pop', 'folk pop', 'indie']"
Hardy,172997,4814735,https://www.last.fm/music/Hardy,"['country rock', 'rock', 'country', 'country pop', 'post-grunge']"
David Kushner,805124,17534423,https://www.last.fm/music/David+Kushner,"['indie', 'alternative', 'singer-songwriter', 'pop', 'folk']"
Megan Moroney,188083,6526311,https://www.last.fm/music/Megan+Moroney,"['country', 'USA', 'georgia', 'modern country pop']"
ICE SPICE,1215572,39809095,https://www.last.fm/music/ICE+SPICE,"['rap', 'drill', 'Hip-Hop', 'trap', 'grah']"
Glorilla,695506,14151360,https://www.last.fm/music/Glorilla,"['rap', 'trap', 'Hip-Hop', 'hip hop', 'memphis']"
Fuerza Regida,336907,21162171,https://www.last.fm/music/Fuerza+Regida,"['Corridos tumbados', 'latin', 'mexico', 'corridos', 'Sierreno']"
Doechii,1487840,56442766,https://www.last.fm/music/Doechii,"['rap', 'rnb', 'hip hop', 'Hip-Hop', 'pop']"
Oliver Anthony Music,109903,1333553,https://www.last.fm/music/Oliver+Anthony+Music,"['country', 'industry plant', 'singer-songwriter', 'americana', 'nazi']"
Noah Kahan,1253439,119251990,https://www.last.fm/music/Noah+Kahan,"['indie', 'folk', 'singer-songwriter', 'seen live', 'acoustic']"
Jung Kook,1109677,608165696,https://www.last.fm/music/Jung+Kook,"['k-pop', 'pop', 'Korean', 'bot', 'worst of 2024']"
Wham!,2830992,34371769,https://www.last.fm/music/Wham%21,"['80s', 'pop', 'british', 'new wave', 'dance']"
Parker McCollum,112414,3348476,https://www.last.fm/music/Parker+McCollum,"['country', 'folk', 'americana', 'american', 'texas']"
Peso Pluma,531797,35357252,https://www.last.fm/music/Peso+Pluma,"['mexico', 'Reggaeton', 'Corridos tumbados', 'corrido tumbado', 'corridos belicos']"
Kaliii,259208,1619308,https://www.last.fm/music/Kaliii,"['atlanta', 'rap', 'Hip-Hop', 'hip hop', 'USA']"
Corey Kent,75796,1090956,https://www.last.fm/music/Corey+Kent,"['country', 'USA', 'texas country', 'modern country pop']"
Young Nudy,810857,38600629,https://www.last.fm/music/Young+Nudy,"['rap', 'trap', 'Hip-Hop', 'hip hop', 'Gangsta Rap']"
Bizarrap,765208,37603525,https://www.last.fm/music/Bizarrap,"['rap', 'trap', 'argentina', 'latin', 'electronic']"
Teddy Swims,808217,11950526,https://www.last.fm/music/Teddy+Swims,"['soul', 'singer-songwriter', 'rnb', 'pop', 'Neo-Soul']"
Shaboozey,570755,6961504,https://www.last.fm/music/Shaboozey,"['country', 'rap', 'Hip-Hop', 'pop', 'seen live']"
Benson Boone,1011106,25495801,https://www.last.fm/music/Benson+Boone,"['pop', 'pop rock', 'seen live', 'rock', 'USA']"
Sabrina Carpenter,2490449,351659668,https://www.last.fm/music/Sabrina+Carpenter,"['pop', 'indie pop', 'folk', 'alternative', 'pop rock']"
Tommy Richman,1225807,21267903,https://www.last.fm/music/Tommy+Richman,"['rnb', 'rap', 'funk', 'Hip-Hop', 'alternative rnb']"
Chappell Roan,1921788,214300508,https://www.last.fm/music/Chappell+Roan,"['pop', 'seen live', 'indie pop', 'synthpop', 'electropop']"
Tyla,1048940,28295122,https://www.last.fm/music/Tyla,"['rnb', 'pop', 'amapiano', 'rock', 'south africa']"
Dasha,423720,3974828,https://www.last.fm/music/Dasha,"['pop', 'country', 'indie rock', 'math rock', 'electronica']"
Jessie Murph,271576,4602107,https://www.last.fm/music/Jessie+Murph,"['pop', 'indie pop', 'USA', 'indie', 'country']"
Djo,1604289,46269718,https://www.last.fm/music/Djo,"['psychedelic pop', 'seen live', 'indie', 'psychedelic', 'indie pop']"
Flo Milli,1049690,27396081,https://www.last.fm/music/Flo+Milli,"['Hip-Hop', 'rap', 'trap', 'hip hop', 'female vocalists']"
FloyyMenor,472618,9684408,https://www.last.fm/music/FloyyMenor,"['Reggaeton', 'chile', 'reggaeton chileno', 'LPF', 'malianteo']"
Sexyy Red,769187,15882680,https://www.last.fm/music/Sexyy+Red,"['trap', 'rap', 'Hip-Hop', 'hip hop', 'queen of rap']"
Warren Zeiders,133039,2562908,https://www.last.fm/music/Warren+Zeiders,"['country', 'USA', 'american', 'country rock', 'Red Dirt']"
Artemas,1230315,29361486,https://www.last.fm/music/Artemas,"['pop', 'british', 'rnb', 'seen live', 'indie']"
Xavi,231898,5590993,https://www.last.fm/music/Xavi,"['pop', 'Reggaeton', 'regional mexican', 'electronic', 'singer-songwriter']"
Myles Smith,410164,5008538,https://www.last.fm/music/Myles+Smith,"['folk', 'british', 'alternative', 'singer-songwriter', 'americana']"
Paul Russell,324385,2128465,https://www.last.fm/music/Paul+Russell,"['Hip-Hop', 'electronica', 'rap', 'trance', 'pop']"
4batz,545532,10175774,https://www.last.fm/music/4batz,"['rap', 'rnb', 'soul', 'Hip-Hop', 'hip hop']"
Koe Wetzel,117601,4077806,https://www.last.fm/music/Koe+Wetzel,"['country', 'texas', 'rock', 'alternative rock', 'USA']"
Nate Smith,215599,2750939,https://www.last.fm/music/Nate+Smith,"['jazz', 'seen live', 'drums', 'country', 'american']"
Victoria Monet,14870,191437,https://www.last.fm/music/Victoria+Monet,"['USA', 'rnb', 'us', 'Victoria Monet']"
Tucker Wetmore,92318,1123401,https://www.last.fm/music/Tucker+Wetmore,"['country', 'USA', 'contemporary country', 'country road', 'modern country rock']"
